country,date,indicator,description,value
United States,2011,NY.GDP.MKTP.CD,GDP (current US$),15599732000000.0
United States,2010,NY.GDP.MKTP.CD,GDP (current US$),15048971000000.0
United States,2009,NY.GDP.MKTP.CD,GDP (current US$),14478067000000.0
United States,2008,NY.GDP.MKTP.CD,GDP (current US$),14769862000000.0
United States,2007,NY.GDP.MKTP.CD,GDP (current US$),14474228000000.0
United States,2006,NY.GDP.MKTP.CD,GDP (current US$),13815583000000.0
United States,2005,NY.GDP.MKTP.CD,GDP (current US$),13039197000000.0
United States,2004,NY.GDP.MKTP.CD,GDP (current US$),12217196000000.0
United States,2003,NY.GDP.MKTP.CD,GDP (current US$),11456450000000.0
United States,2002,NY.GDP.MKTP.CD,GDP (current US$),10929108000000.0
United States,2001,NY.GDP.MKTP.CD,GDP (current US$),10581929000000.0
United States,2000,NY.GDP.MKTP.CD,GDP (current US$),10250952000000.0
United States,1999,NY.GDP.MKTP.CD,GDP (current US$),9631172000000.0
United States,1998,NY.GDP.MKTP.CD,GDP (current US$),9062817000000.0
United States,1997,NY.GDP.MKTP.CD,GDP (current US$),8577552000000.0
United States,1996,NY.GDP.MKTP.CD,GDP (current US$),8073122000000.0
United States,1995,NY.GDP.MKTP.CD,GDP (current US$),7639749000000.0
United States,1994,NY.GDP.MKTP.CD,GDP (current US$),7287236000000.0
United States,1993,NY.GDP.MKTP.CD,GDP (current US$),6858559000000.0
United States,1992,NY.GDP.MKTP.CD,GDP (current US$),6520327000000.0
United States,1991,NY.GDP.MKTP.CD,GDP (current US$),6158129000000.0
China,2023,NY.GDP.MKTP.CD,GDP (current US$),17794783039552.0
China,2022,NY.GDP.MKTP.CD,GDP (current US$),17881782683707.3
China,2021,NY.GDP.MKTP.CD,GDP (current US$),17820459508852.2
China,2020,NY.GDP.MKTP.CD,GDP (current US$),14687744162801.0
China,2019,NY.GDP.MKTP.CD,GDP (current US$),14279968506271.7
China,2018,NY.GDP.MKTP.CD,GDP (current US$),13894907857880.6
China,2017,NY.GDP.MKTP.CD,GDP (current US$),12310491333980.9
China,2016,NY.GDP.MKTP.CD,GDP (current US$),11233313730348.7
China,2015,NY.GDP.MKTP.CD,GDP (current US$),11061572618578.7
China,2014,NY.GDP.MKTP.CD,GDP (current US$),10475624944355.2
China,2013,NY.GDP.MKTP.CD,GDP (current US$),9570471111831.68
China,2012,NY.GDP.MKTP.CD,GDP (current US$),8532185381680.59
China,2011,NY.GDP.MKTP.CD,GDP (current US$),7551545703440.75
China,2010,NY.GDP.MKTP.CD,GDP (current US$),6087191746679.49
China,2009,NY.GDP.MKTP.CD,GDP (current US$),5101691124285.21
China,2008,NY.GDP.MKTP.CD,GDP (current US$),4594336785737.67
China,2007,NY.GDP.MKTP.CD,GDP (current US$),3550327802998.4
China,2006,NY.GDP.MKTP.CD,GDP (current US$),2752118657184.02
China,2005,NY.GDP.MKTP.CD,GDP (current US$),2285961149879.85
China,2004,NY.GDP.MKTP.CD,GDP (current US$),1955346768721.39
China,2003,NY.GDP.MKTP.CD,GDP (current US$),1660280543846.79
China,2002,NY.GDP.MKTP.CD,GDP (current US$),1470557654799.95
China,2001,NY.GDP.MKTP.CD,GDP (current US$),1339400897105.11
China,2000,NY.GDP.MKTP.CD,GDP (current US$),1211331651866.09
China,1999,NY.GDP.MKTP.CD,GDP (current US$),1094003874937.34
China,1998,NY.GDP.MKTP.CD,GDP (current US$),1029060747620.65
China,1997,NY.GDP.MKTP.CD,GDP (current US$),961601980984.623
China,1996,NY.GDP.MKTP.CD,GDP (current US$),863749314718.538
China,1995,NY.GDP.MKTP.CD,GDP (current US$),734484834573.582
China,1994,NY.GDP.MKTP.CD,GDP (current US$),564321854521.013
China,1993,NY.GDP.MKTP.CD,GDP (current US$),444731282435.515
China,1992,NY.GDP.MKTP.CD,GDP (current US$),426915712715.856
China,1991,NY.GDP.MKTP.CD,GDP (current US$),383373318083.624
India,2023,NY.GDP.MKTP.CD,GDP (current US$),3567551674623.01
India,2022,NY.GDP.MKTP.CD,GDP (current US$),3353470496886.33
India,2021,NY.GDP.MKTP.CD,GDP (current US$),3167270623260.47
India,2020,NY.GDP.MKTP.CD,GDP (current US$),2674851578587.27
India,2019,NY.GDP.MKTP.CD,GDP (current US$),2835606256558.19
India,2018,NY.GDP.MKTP.CD,GDP (current US$),2702929641648.74
India,2017,NY.GDP.MKTP.CD,GDP (current US$),2651474262755.45
India,2016,NY.GDP.MKTP.CD,GDP (current US$),2294796885663.16
India,2015,NY.GDP.MKTP.CD,GDP (current US$),2103588360044.94
India,2014,NY.GDP.MKTP.CD,GDP (current US$),2039126479154.52
India,2013,NY.GDP.MKTP.CD,GDP (current US$),1856721507621.58
India,2012,NY.GDP.MKTP.CD,GDP (current US$),1827637590410.41
India,2011,NY.GDP.MKTP.CD,GDP (current US$),1823051829894.55
India,2010,NY.GDP.MKTP.CD,GDP (current US$),1675615519484.96
India,2009,NY.GDP.MKTP.CD,GDP (current US$),1341888016994.9
India,2008,NY.GDP.MKTP.CD,GDP (current US$),1198895139005.92
India,2007,NY.GDP.MKTP.CD,GDP (current US$),1216736438834.96
India,2006,NY.GDP.MKTP.CD,GDP (current US$),940259888787.721
India,2005,NY.GDP.MKTP.CD,GDP (current US$),820383763511.445
India,2004,NY.GDP.MKTP.CD,GDP (current US$),709152728830.775
India,2003,NY.GDP.MKTP.CD,GDP (current US$),607700687237.318
India,2002,NY.GDP.MKTP.CD,GDP (current US$),514939140318.756
India,2001,NY.GDP.MKTP.CD,GDP (current US$),485440139204.171
India,2000,NY.GDP.MKTP.CD,GDP (current US$),468395521654.458
India,1999,NY.GDP.MKTP.CD,GDP (current US$),458821052615.79
India,1998,NY.GDP.MKTP.CD,GDP (current US$),421351317224.941
India,1997,NY.GDP.MKTP.CD,GDP (current US$),415867563592.829
India,1996,NY.GDP.MKTP.CD,GDP (current US$),392896866204.516
India,1995,NY.GDP.MKTP.CD,GDP (current US$),360281909643.489
India,1994,NY.GDP.MKTP.CD,GDP (current US$),327274843459.429
India,1993,NY.GDP.MKTP.CD,GDP (current US$),279295648982.529
India,1992,NY.GDP.MKTP.CD,GDP (current US$),288208070278.013
India,1991,NY.GDP.MKTP.CD,GDP (current US$),270105341879.226
South Africa,2023,NY.GDP.MKTP.CD,GDP (current US$),380699271814.508
South Africa,2022,NY.GDP.MKTP.CD,GDP (current US$),406920004594.074
South Africa,2021,NY.GDP.MKTP.CD,GDP (current US$),420886877628.703
South Africa,2020,NY.GDP.MKTP.CD,GDP (current US$),337974655408.055
South Africa,2019,NY.GDP.MKTP.CD,GDP (current US$),389330032224.269
South Africa,2018,NY.GDP.MKTP.CD,GDP (current US$),405260723892.517
South Africa,2017,NY.GDP.MKTP.CD,GDP (current US$),381448814653.456
South Africa,2016,NY.GDP.MKTP.CD,GDP (current US$),323585509674.481
South Africa,2015,NY.GDP.MKTP.CD,GDP (current US$),346709790458.563
South Africa,2014,NY.GDP.MKTP.CD,GDP (current US$),381198869776.106
South Africa,2013,NY.GDP.MKTP.CD,GDP (current US$),400886013595.573
South Africa,2012,NY.GDP.MKTP.CD,GDP (current US$),434400545085.811
South Africa,2011,NY.GDP.MKTP.CD,GDP (current US$),458199494830.834
South Africa,2010,NY.GDP.MKTP.CD,GDP (current US$),417363822801.713
South Africa,2009,NY.GDP.MKTP.CD,GDP (current US$),329754060647.129
South Africa,2008,NY.GDP.MKTP.CD,GDP (current US$),316131258616.309
South Africa,2007,NY.GDP.MKTP.CD,GDP (current US$),333077117253.684
South Africa,2006,NY.GDP.MKTP.CD,GDP (current US$),303858675363.643
South Africa,2005,NY.GDP.MKTP.CD,GDP (current US$),288867217196.534
South Africa,2004,NY.GDP.MKTP.CD,GDP (current US$),255806908594.573
South Africa,2003,NY.GDP.MKTP.CD,GDP (current US$),197018965308.697
South Africa,2002,NY.GDP.MKTP.CD,GDP (current US$),129087556612.449
South Africa,2001,NY.GDP.MKTP.CD,GDP (current US$),135429905922.526
South Africa,2000,NY.GDP.MKTP.CD,GDP (current US$),151752757215.309
South Africa,1999,NY.GDP.MKTP.CD,GDP (current US$),151516957078.536
South Africa,1998,NY.GDP.MKTP.CD,GDP (current US$),152982984557.233
South Africa,1997,NY.GDP.MKTP.CD,GDP (current US$),168978057327.73
South Africa,1996,NY.GDP.MKTP.CD,GDP (current US$),163234925380.563
South Africa,1995,NY.GDP.MKTP.CD,GDP (current US$),171735933897.331
South Africa,1994,NY.GDP.MKTP.CD,GDP (current US$),153512712381.836
South Africa,1993,NY.GDP.MKTP.CD,GDP (current US$),147194747565.75
South Africa,1992,NY.GDP.MKTP.CD,GDP (current US$),146956150986.636
South Africa,1991,NY.GDP.MKTP.CD,GDP (current US$),135203698237.977
Brazil,2023,NY.GDP.MKTP.CD,GDP (current US$),2173665655937.27
Brazil,2022,NY.GDP.MKTP.CD,GDP (current US$),1951923942083.32
Brazil,2021,NY.GDP.MKTP.CD,GDP (current US$),1670647399034.67
Brazil,2020,NY.GDP.MKTP.CD,GDP (current US$),1476107231194.11
Brazil,2019,NY.GDP.MKTP.CD,GDP (current US$),1873288205186.45
Brazil,2018,NY.GDP.MKTP.CD,GDP (current US$),1916933898038.36
Brazil,2017,NY.GDP.MKTP.CD,GDP (current US$),2063514977334.32
Brazil,2016,NY.GDP.MKTP.CD,GDP (current US$),1795693482652.52
Brazil,2015,NY.GDP.MKTP.CD,GDP (current US$),1802212206904.68
Brazil,2014,NY.GDP.MKTP.CD,GDP (current US$),2456043727198.85
Brazil,2013,NY.GDP.MKTP.CD,GDP (current US$),2472819535742.73
Brazil,2012,NY.GDP.MKTP.CD,GDP (current US$),2465227803011.57
Brazil,2011,NY.GDP.MKTP.CD,GDP (current US$),2616156223977.47
Brazil,2010,NY.GDP.MKTP.CD,GDP (current US$),2208837745214.23
Brazil,2009,NY.GDP.MKTP.CD,GDP (current US$),1666996438681.46
Brazil,2008,NY.GDP.MKTP.CD,GDP (current US$),1695855083552.05
Brazil,2007,NY.GDP.MKTP.CD,GDP (current US$),1397114486471.38
Brazil,2006,NY.GDP.MKTP.CD,GDP (current US$),1107626541710.74
Brazil,2005,NY.GDP.MKTP.CD,GDP (current US$),891633839853.105
Brazil,2004,NY.GDP.MKTP.CD,GDP (current US$),669289424806.307
Brazil,2003,NY.GDP.MKTP.CD,GDP (current US$),558233745651.874
Brazil,2002,NY.GDP.MKTP.CD,GDP (current US$),509795273806.715
Brazil,2001,NY.GDP.MKTP.CD,GDP (current US$),559983634798.981
Brazil,2000,NY.GDP.MKTP.CD,GDP (current US$),655448231983.527
Brazil,1999,NY.GDP.MKTP.CD,GDP (current US$),599642024319.531
Brazil,1998,NY.GDP.MKTP.CD,GDP (current US$),863710759256.435
Brazil,1997,NY.GDP.MKTP.CD,GDP (current US$),883206179730.462
Brazil,1996,NY.GDP.MKTP.CD,GDP (current US$),850426432991.742
Brazil,1995,NY.GDP.MKTP.CD,GDP (current US$),769333050986.905
Brazil,1994,NY.GDP.MKTP.CD,GDP (current US$),525369467295.737
Brazil,1993,NY.GDP.MKTP.CD,GDP (current US$),368292034380.96
Brazil,1992,NY.GDP.MKTP.CD,GDP (current US$),328191909882.232
Brazil,1991,NY.GDP.MKTP.CD,GDP (current US$),342534090909.091
Russian Federation,2023,NY.GDP.MKTP.CD,GDP (current US$),2021421476035.42
Russian Federation,2022,NY.GDP.MKTP.CD,GDP (current US$),2266029240645.34
Russian Federation,2021,NY.GDP.MKTP.CD,GDP (current US$),1843392293734.38
Russian Federation,2020,NY.GDP.MKTP.CD,GDP (current US$),1493075894362.14
Russian Federation,2019,NY.GDP.MKTP.CD,GDP (current US$),1693115002708.32
Russian Federation,2018,NY.GDP.MKTP.CD,GDP (current US$),1657328773461.31
Russian Federation,2017,NY.GDP.MKTP.CD,GDP (current US$),1574199360089.0
Russian Federation,2016,NY.GDP.MKTP.CD,GDP (current US$),1276786350881.14
Russian Federation,2015,NY.GDP.MKTP.CD,GDP (current US$),1363482182197.71
Russian Federation,2014,NY.GDP.MKTP.CD,GDP (current US$),2059241589895.01
Russian Federation,2013,NY.GDP.MKTP.CD,GDP (current US$),2292470078346.22
Russian Federation,2012,NY.GDP.MKTP.CD,GDP (current US$),2208293553878.42
Russian Federation,2011,NY.GDP.MKTP.CD,GDP (current US$),2045922753398.04
Russian Federation,2010,NY.GDP.MKTP.CD,GDP (current US$),1524916715223.95
Russian Federation,2009,NY.GDP.MKTP.CD,GDP (current US$),1222645900055.7
Russian Federation,2008,NY.GDP.MKTP.CD,GDP (current US$),1660848058303.11
Russian Federation,2007,NY.GDP.MKTP.CD,GDP (current US$),1299703478481.65
Russian Federation,2006,NY.GDP.MKTP.CD,GDP (current US$),989932071352.543
Russian Federation,2005,NY.GDP.MKTP.CD,GDP (current US$),764015973481.11
Russian Federation,2004,NY.GDP.MKTP.CD,GDP (current US$),591016690732.385
Russian Federation,2003,NY.GDP.MKTP.CD,GDP (current US$),430347420184.885
Russian Federation,2002,NY.GDP.MKTP.CD,GDP (current US$),345470494417.863
Russian Federation,2001,NY.GDP.MKTP.CD,GDP (current US$),306602070620.5
Russian Federation,2000,NY.GDP.MKTP.CD,GDP (current US$),259710142196.943
Russian Federation,1999,NY.GDP.MKTP.CD,GDP (current US$),195907128350.934
Russian Federation,1998,NY.GDP.MKTP.CD,GDP (current US$),270955486862.442
Russian Federation,1997,NY.GDP.MKTP.CD,GDP (current US$),404928954191.876
Russian Federation,1996,NY.GDP.MKTP.CD,GDP (current US$),391724890744.498
Russian Federation,1995,NY.GDP.MKTP.CD,GDP (current US$),395537185734.854
Russian Federation,1994,NY.GDP.MKTP.CD,GDP (current US$),395077301248.464
Russian Federation,1993,NY.GDP.MKTP.CD,GDP (current US$),435083713850.837
Russian Federation,1992,NY.GDP.MKTP.CD,GDP (current US$),460290556900.726
Russian Federation,1991,NY.GDP.MKTP.CD,GDP (current US$),517962962962.963
"Egypt, Arab Rep.",2023,NY.GDP.MKTP.CD,GDP (current US$),396002496996.96
"Egypt, Arab Rep.",2022,NY.GDP.MKTP.CD,GDP (current US$),476747720364.742
"Egypt, Arab Rep.",2021,NY.GDP.MKTP.CD,GDP (current US$),424671765455.704
"Egypt, Arab Rep.",2020,NY.GDP.MKTP.CD,GDP (current US$),383817841547.099
"Egypt, Arab Rep.",2019,NY.GDP.MKTP.CD,GDP (current US$),318678815489.749
"Egypt, Arab Rep.",2018,NY.GDP.MKTP.CD,GDP (current US$),262588632526.73
"Egypt, Arab Rep.",2017,NY.GDP.MKTP.CD,GDP (current US$),248362771739.13
"Egypt, Arab Rep.",2016,NY.GDP.MKTP.CD,GDP (current US$),332441717791.411
"Egypt, Arab Rep.",2015,NY.GDP.MKTP.CD,GDP (current US$),329366576819.407
"Egypt, Arab Rep.",2014,NY.GDP.MKTP.CD,GDP (current US$),305595408895.265
"Egypt, Arab Rep.",2013,NY.GDP.MKTP.CD,GDP (current US$),288434108527.132
"Egypt, Arab Rep.",2012,NY.GDP.MKTP.CD,GDP (current US$),279116666666.667
"Egypt, Arab Rep.",2011,NY.GDP.MKTP.CD,GDP (current US$),235989672977.625
"Egypt, Arab Rep.",2010,NY.GDP.MKTP.CD,GDP (current US$),218983666061.706
"Egypt, Arab Rep.",2009,NY.GDP.MKTP.CD,GDP (current US$),189147005444.646
"Egypt, Arab Rep.",2008,NY.GDP.MKTP.CD,GDP (current US$),162818181818.182
"Egypt, Arab Rep.",2007,NY.GDP.MKTP.CD,GDP (current US$),130437828371.278
"Egypt, Arab Rep.",2006,NY.GDP.MKTP.CD,GDP (current US$),107426086956.522
"Egypt, Arab Rep.",2005,NY.GDP.MKTP.CD,GDP (current US$),89600665557.4043
"Egypt, Arab Rep.",2004,NY.GDP.MKTP.CD,GDP (current US$),78782467532.4675
"Egypt, Arab Rep.",2003,NY.GDP.MKTP.CD,GDP (current US$),80288461538.4615
"Egypt, Arab Rep.",2002,NY.GDP.MKTP.CD,GDP (current US$),85146067415.7303
"Egypt, Arab Rep.",2001,NY.GDP.MKTP.CD,GDP (current US$),96684636118.5984
"Egypt, Arab Rep.",2000,NY.GDP.MKTP.CD,GDP (current US$),99838543960.0763
"Egypt, Arab Rep.",1999,NY.GDP.MKTP.CD,GDP (current US$),90710704806.8416
"Egypt, Arab Rep.",1998,NY.GDP.MKTP.CD,GDP (current US$),84828807556.0803
"Egypt, Arab Rep.",1997,NY.GDP.MKTP.CD,GDP (current US$),78436578171.0914
"Egypt, Arab Rep.",1996,NY.GDP.MKTP.CD,GDP (current US$),67629716981.1321
"Egypt, Arab Rep.",1995,NY.GDP.MKTP.CD,GDP (current US$),60159245060.4541
"Egypt, Arab Rep.",1994,NY.GDP.MKTP.CD,GDP (current US$),51897983392.6453
"Egypt, Arab Rep.",1993,NY.GDP.MKTP.CD,GDP (current US$),46578631452.581
"Egypt, Arab Rep.",1992,NY.GDP.MKTP.CD,GDP (current US$),41855986519.4235
"Egypt, Arab Rep.",1991,NY.GDP.MKTP.CD,GDP (current US$),37387836490.5284
Ethiopia,2023,NY.GDP.MKTP.CD,GDP (current US$),163697927593.982
Ethiopia,2022,NY.GDP.MKTP.CD,GDP (current US$),126772703047.701
Ethiopia,2021,NY.GDP.MKTP.CD,GDP (current US$),111261882958.426
Ethiopia,2020,NY.GDP.MKTP.CD,GDP (current US$),107657734392.446
Ethiopia,2019,NY.GDP.MKTP.CD,GDP (current US$),95912607722.3032
Ethiopia,2018,NY.GDP.MKTP.CD,GDP (current US$),84269196625.8784
Ethiopia,2017,NY.GDP.MKTP.CD,GDP (current US$),81770886825.6048
Ethiopia,2016,NY.GDP.MKTP.CD,GDP (current US$),74296745207.8721
Ethiopia,2015,NY.GDP.MKTP.CD,GDP (current US$),64589328550.5953
Ethiopia,2014,NY.GDP.MKTP.CD,GDP (current US$),55612228233.5179
Ethiopia,2013,NY.GDP.MKTP.CD,GDP (current US$),47648276605.0123
Ethiopia,2012,NY.GDP.MKTP.CD,GDP (current US$),43310721414.0829
Ethiopia,2011,NY.GDP.MKTP.CD,GDP (current US$),31952763089.33
Ethiopia,2010,NY.GDP.MKTP.CD,GDP (current US$),29933790334.3418
Ethiopia,2009,NY.GDP.MKTP.CD,GDP (current US$),32437389116.038
Ethiopia,2008,NY.GDP.MKTP.CD,GDP (current US$),27066912635.2228
Ethiopia,2007,NY.GDP.MKTP.CD,GDP (current US$),19707616772.7996
Ethiopia,2006,NY.GDP.MKTP.CD,GDP (current US$),15280861834.6024
Ethiopia,2005,NY.GDP.MKTP.CD,GDP (current US$),12401139453.9738
Ethiopia,2004,NY.GDP.MKTP.CD,GDP (current US$),10131187261.4421
Ethiopia,2003,NY.GDP.MKTP.CD,GDP (current US$),8623691300.04079
Ethiopia,2002,NY.GDP.MKTP.CD,GDP (current US$),7850809498.16803
Ethiopia,2001,NY.GDP.MKTP.CD,GDP (current US$),8231326016.47494
Ethiopia,2000,NY.GDP.MKTP.CD,GDP (current US$),8242349617.8638
Ethiopia,1999,NY.GDP.MKTP.CD,GDP (current US$),7892973531.80045
Ethiopia,1998,NY.GDP.MKTP.CD,GDP (current US$),8013274131.69715
Ethiopia,1997,NY.GDP.MKTP.CD,GDP (current US$),8803539988.33248
Ethiopia,1996,NY.GDP.MKTP.CD,GDP (current US$),8761215548.48614
Ethiopia,1995,NY.GDP.MKTP.CD,GDP (current US$),7855205206.93405
Ethiopia,1994,NY.GDP.MKTP.CD,GDP (current US$),7100806753.92942
Ethiopia,1993,NY.GDP.MKTP.CD,GDP (current US$),9051043870.12197
Ethiopia,1992,NY.GDP.MKTP.CD,GDP (current US$),10754799036.5745
Ethiopia,1991,NY.GDP.MKTP.CD,GDP (current US$),13799799323.6715
"Iran, Islamic Rep.",2023,NY.GDP.MKTP.CD,GDP (current US$),404625655204.619
"Iran, Islamic Rep.",2022,NY.GDP.MKTP.CD,GDP (current US$),394362621793.035
"Iran, Islamic Rep.",2021,NY.GDP.MKTP.CD,GDP (current US$),383436202446.695
"Iran, Islamic Rep.",2020,NY.GDP.MKTP.CD,GDP (current US$),262186179355.944
"Iran, Islamic Rep.",2019,NY.GDP.MKTP.CD,GDP (current US$),333519146339.191
"Iran, Islamic Rep.",2018,NY.GDP.MKTP.CD,GDP (current US$),398880231367.268
"Iran, Islamic Rep.",2017,NY.GDP.MKTP.CD,GDP (current US$),489168731811.147
"Iran, Islamic Rep.",2016,NY.GDP.MKTP.CD,GDP (current US$),459042684192.698
"Iran, Islamic Rep.",2015,NY.GDP.MKTP.CD,GDP (current US$),409191686496.677
"Iran, Islamic Rep.",2014,NY.GDP.MKTP.CD,GDP (current US$),462284793280.825
"Iran, Islamic Rep.",2013,NY.GDP.MKTP.CD,GDP (current US$),500399839839.877
"Iran, Islamic Rep.",2012,NY.GDP.MKTP.CD,GDP (current US$),644019315003.54
"Iran, Islamic Rep.",2011,NY.GDP.MKTP.CD,GDP (current US$),629082257472.368
"Iran, Islamic Rep.",2010,NY.GDP.MKTP.CD,GDP (current US$),487069570461.36
"Iran, Islamic Rep.",2009,NY.GDP.MKTP.CD,GDP (current US$),414059094949.597
"Iran, Islamic Rep.",2008,NY.GDP.MKTP.CD,GDP (current US$),406070949550.867
"Iran, Islamic Rep.",2007,NY.GDP.MKTP.CD,GDP (current US$),349736591836.295
"Iran, Islamic Rep.",2006,NY.GDP.MKTP.CD,GDP (current US$),265602187406.199
"Iran, Islamic Rep.",2005,NY.GDP.MKTP.CD,GDP (current US$),224970371328.826
"Iran, Islamic Rep.",2004,NY.GDP.MKTP.CD,GDP (current US$),187754571246.703
"Iran, Islamic Rep.",2003,NY.GDP.MKTP.CD,GDP (current US$),151911222120.261
"Iran, Islamic Rep.",2002,NY.GDP.MKTP.CD,GDP (current US$),128626917504.398
"Iran, Islamic Rep.",2001,NY.GDP.MKTP.CD,GDP (current US$),126878750295.583
"Iran, Islamic Rep.",2000,NY.GDP.MKTP.CD,GDP (current US$),109591707801.431
"Iran, Islamic Rep.",1999,NY.GDP.MKTP.CD,GDP (current US$),113848450088.686
"Iran, Islamic Rep.",1998,NY.GDP.MKTP.CD,GDP (current US$),110276913362.445
"Iran, Islamic Rep.",1997,NY.GDP.MKTP.CD,GDP (current US$),113919163421.479
"Iran, Islamic Rep.",1996,NY.GDP.MKTP.CD,GDP (current US$),120403931883.348
"Iran, Islamic Rep.",1995,NY.GDP.MKTP.CD,GDP (current US$),96419225744.9927
"Iran, Islamic Rep.",1994,NY.GDP.MKTP.CD,GDP (current US$),71841461172.2365
"Iran, Islamic Rep.",1993,NY.GDP.MKTP.CD,GDP (current US$),63743623231.2312
"Iran, Islamic Rep.",1992,NY.GDP.MKTP.CD,GDP (current US$),119768691216.667
"Iran, Islamic Rep.",1991,NY.GDP.MKTP.CD,GDP (current US$),131637664957.524
Saudi Arabia,2023,NY.GDP.MKTP.CD,GDP (current US$),1067582933333.33
Saudi Arabia,2022,NY.GDP.MKTP.CD,GDP (current US$),1108571466666.67
Saudi Arabia,2021,NY.GDP.MKTP.CD,GDP (current US$),874156000000.0
Saudi Arabia,2020,NY.GDP.MKTP.CD,GDP (current US$),734271200000.0
Saudi Arabia,2019,NY.GDP.MKTP.CD,GDP (current US$),838564800000.0
Saudi Arabia,2018,NY.GDP.MKTP.CD,GDP (current US$),846583733333.333
Saudi Arabia,2017,NY.GDP.MKTP.CD,GDP (current US$),714994666666.667
Saudi Arabia,2016,NY.GDP.MKTP.CD,GDP (current US$),666000000000.0
Saudi Arabia,2015,NY.GDP.MKTP.CD,GDP (current US$),669484266666.667
Saudi Arabia,2014,NY.GDP.MKTP.CD,GDP (current US$),766605866666.667
Saudi Arabia,2013,NY.GDP.MKTP.CD,GDP (current US$),753864533333.333
Saudi Arabia,2012,NY.GDP.MKTP.CD,GDP (current US$),741849866666.667
Saudi Arabia,2011,NY.GDP.MKTP.CD,GDP (current US$),676634666666.667
Saudi Arabia,2010,NY.GDP.MKTP.CD,GDP (current US$),528207200000.0
Saudi Arabia,2009,NY.GDP.MKTP.CD,GDP (current US$),429097866666.667
Saudi Arabia,2008,NY.GDP.MKTP.CD,GDP (current US$),519796800000.0
Saudi Arabia,2007,NY.GDP.MKTP.CD,GDP (current US$),415964509673.115
Saudi Arabia,2006,NY.GDP.MKTP.CD,GDP (current US$),376900133511.348
